date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:59	24/24	---M--	200	added ('OK')	text/plain	etag:%225fbcbf37-18%22	https://amandaseasholtz.com/robots.txt		(from )
12:24:59	68097/68097	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:00%20GMT	https://amandaseasholtz.com/	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/index.html	(from )
12:25:00	4997/4997	---M--	200	added ('OK')	image/png	etag:a78dd11b9a4cfff917bd150075a441df	http://static.showit.co/200/PxRsaFG_R9K5SCESBhjZ6A/65601/adpwatermark2-black-01.png	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/200/PxRsaFG_R9K5SCESBhjZ6A/65601/adpwatermark2-black-01.png	(from https://amandaseasholtz.com/)
12:25:00	24521/24521	---M--	200	added ('OK')	image/png	etag:406a269ae1add854eb1f91badaa09334	https://static.showit.co/1200/6lzou59wTxCpsf9n8ofYJg/65601/adpmain-black-01.png	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1200/6lzou59wTxCpsf9n8ofYJg/65601/adpmain-black-01.png	(from https://amandaseasholtz.com/)
12:25:00	55522/55522	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-d8e2%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	(from https://amandaseasholtz.com/)
12:25:02	7290/7290	---MCZ	200	added ('OK')	text/css	etag:W/%228e74b817a46d3ed438a34b919f7bd280%22	http://lib.showit.co/engine/2.0.1/showit.css	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/lib.showit.co/engine/2.0.1/showit.css	(from https://amandaseasholtz.com/)
12:25:03	49160/49160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22964b2fb6bb83c92996a9d15472852402%22	http://lib.showit.co/engine/2.0.1/showit-lib.min.js	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/lib.showit.co/engine/2.0.1/showit-lib.min.js	(from https://amandaseasholtz.com/)
12:25:04	60455/60455	---MCZ	200	added ('OK')	application/javascript	etag:W/%22219223c2874d9b567b5aea698e5a6665%22	http://lib.showit.co/engine/2.0.1/showit.min.js	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/lib.showit.co/engine/2.0.1/showit.min.js	(from https://amandaseasholtz.com/)
12:25:04	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://amandaseasholtz.com/)
12:25:04	82315/82315	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:03%20GMT	https://amandaseasholtz.com/contact	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/contact.html	(from https://amandaseasholtz.com/)
12:25:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Mar%202023%2017:25:05%20GMT	https://amandaseasholtz.com/blog	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/blog.8.delayed	(from https://amandaseasholtz.com/)
12:25:05	94310/94310	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:06%20GMT	https://amandaseasholtz.com/blog/	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/blog/index.html	(from https://amandaseasholtz.com/)
12:25:05	57739/57739	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:06%20GMT	https://amandaseasholtz.com/shop	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/shop.html	(from https://amandaseasholtz.com/)
12:25:05	273810/273810	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:06%20GMT	https://amandaseasholtz.com/weddings	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/weddings.html	(from https://amandaseasholtz.com/)
12:25:05	68919/68919	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:06%20GMT	https://amandaseasholtz.com/approach	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/approach.html	(from https://amandaseasholtz.com/)
12:25:06	7583/7583	---M--	200	added ('OK')	image/png	etag:39b87d1212b8b2026b0385a6c623f3b5	http://static.showit.co/800/vdDAF0KfSTakrJ-tRwqjlQ/65601/adpsecondarylogo3-white-01.png	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/800/vdDAF0KfSTakrJ-tRwqjlQ/65601/adpsecondarylogo3-white-01.png	(from https://amandaseasholtz.com/)
12:25:08	114896/114896	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:08%20GMT	https://amandaseasholtz.com/represent-branding	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/represent-branding.html	(from https://amandaseasholtz.com/)
12:25:12	45324/45324	---M--	200	added ('OK')	image/jpeg	etag:eec3d6f8db23b8e3f0b49c130e6209c9	http://static.showit.co/400/aNCNcI2YQyWkWC4oRYssmA/65601/c75a4651.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/400/aNCNcI2YQyWkWC4oRYssmA/65601/c75a4651.jpg	(from https://amandaseasholtz.com/)
12:25:12	27975/27975	---M--	200	added ('OK')	image/jpeg	etag:ef48b93042fdb79e283422fa81555f89	http://static.showit.co/400/exBc4l8CQx2XjKfFJZ-7jw/65601/a_and_ewed0143.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/400/exBc4l8CQx2XjKfFJZ-7jw/65601/a_and_ewed0143.jpg	(from https://amandaseasholtz.com/)
12:25:22	77196/77196	---M--	200	added ('OK')	image/jpeg	etag:24d9d082d5f4eb63ee272a53653bac4b	http://static.showit.co/400/X-Cb9wSgQ9a6XdbJP1oDRQ/65601/c75a2983.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/400/X-Cb9wSgQ9a6XdbJP1oDRQ/65601/c75a2983.jpg	(from https://amandaseasholtz.com/)
12:25:23	52354/52354	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2017:25:14%20GMT	https://amandaseasholtz.com/engagements	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/amandaseasholtz.com/engagements.html	(from https://amandaseasholtz.com/)
12:25:27	137959/137959	---M--	200	added ('OK')	image/jpeg	etag:ba1a829676eb6b6116fc892475164184	http://static.showit.co/400/kzlYdfo1TK-eh2IjIXQB8g/65601/c75a6322_1.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/400/kzlYdfo1TK-eh2IjIXQB8g/65601/c75a6322_1.jpg	(from https://amandaseasholtz.com/)
12:25:27	25800/25800	---M--	200	added ('OK')	image/jpeg	etag:5a7d6600f88d44280c8e7c7a0090b9b3	http://static.showit.co/800/qIAd8tLLS72JmdYPp7IH4A/65601/untitled_design_1.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/800/qIAd8tLLS72JmdYPp7IH4A/65601/untitled_design_1.jpg	(from https://amandaseasholtz.com/)
12:25:27	2013/2013	---MCZ	200	added ('OK')	text/css	etag:W/%22bd21b0313fe7dc2b8ac08955a7ef1209%22	http://cdn-images.mailchimp.com/embedcode/horizontal-slim-10_7.css	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/cdn-images.mailchimp.com/embedcode/horizontal-slim-10_7.css	(from https://amandaseasholtz.com/)
12:25:27	2065/2065	---M--	200	added ('OK')	image/png	etag:923115d0f8b548dd3efeca1a974fa22a	http://static.showit.co/200/CqtSYxpsTPCln9iaZJMHTQ/65601/adpsecondarylogo3-black-01.png	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/200/CqtSYxpsTPCln9iaZJMHTQ/65601/adpsecondarylogo3-black-01.png	(from https://amandaseasholtz.com/)
12:25:28	36576/36576	---M--	200	added ('OK')	image/jpeg	etag:ade54d0633a05b5acf20fe1c8de4c3c1	http://static.showit.co/1600/BT26-RwLTPypm2giqDDppQ/65601/untitled_12_5_10_in_17_10_in.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/BT26-RwLTPypm2giqDDppQ/65601/untitled_12_5_10_in_17_10_in.jpg	(from https://amandaseasholtz.com/)
12:25:31	182642/182642	---M--	200	added ('OK')	image/jpeg	etag:75e207e0f55b055275ffeb8dd1c37171	http://static.showit.co/800/-phr9qh6T4qxQboQeqGNsA/65601/c75a3056.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/800/-phr9qh6T4qxQboQeqGNsA/65601/c75a3056.jpg	(from https://amandaseasholtz.com/)
12:25:34	38841/38841	---M--	200	added ('OK')	image/jpeg	etag:ea605f28d7f9639ed8ed13c4b0dc2857	http://static.showit.co/200/IbyHw6NWStiRgVmHTUt4tw/65601/a_and_jwed0393.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/200/IbyHw6NWStiRgVmHTUt4tw/65601/a_and_jwed0393.jpg	(from https://amandaseasholtz.com/contact)
12:25:34	39769/39769	---M--	200	added ('OK')	image/jpeg	etag:0688b16d77241b5da604cadbc70da640	http://static.showit.co/200/xBILyqk8Q4aZ0TgWZNvYMw/65601/flatlay012.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/200/xBILyqk8Q4aZ0TgWZNvYMw/65601/flatlay012.jpg	(from https://amandaseasholtz.com/contact)
12:25:38	45160/45160	---M--	200	added ('OK')	image/jpeg	etag:c41408e40549f346465e3d6e2e926961	http://static.showit.co/200/huD4J8jLSLi72QFCBDBabA/65601/d_and_awed0946.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/200/huD4J8jLSLi72QFCBDBabA/65601/d_and_awed0946.jpg	(from https://amandaseasholtz.com/contact)
